locus_chr	locus_start	locus_end	locus_width	locus_name	locus_ngene	locus_pheno	gene_locusdist_kbp	gene_name	gene_type	gene_tss	gene_end
01	169101212	169367948	266.736	rs10919070+rs12061601+rs12079745	2	QT	58.888	NME7	protein_coding	169190710	169367948
02	200889077	201176687	287.61	rs1106399	6	JT	40.177	ORC2	protein_coding	200963660	200963680
02	200889077	201176687	287.61	rs1106399	6	JT	67.596	NDUFB3	protein_coding	201071433	201085750
02	200889077	201176687	287.61	rs1106399	6	JT	67.832	FAM126B	protein_coding	201071669	201071671
02	200889077	201176687	287.61	rs1106399	6	JT	112.317	CFLAR	protein_coding	201116154	201176687
02	200889077	201176687	287.61	rs1106399	6	JT	114.51	NIF3L1	protein_coding	200889327	200903938
02	200889077	201176687	287.61	rs1106399	6	JT	114.76	PPIL3	protein_coding	200889077	200889303
12	115790690	116277693	487.003	rs11067773	1	PR	167.215	MED13L	protein_coding	115957905	116277693
12	109850945	110073636	222.691	rs11068997	5	QT	45.072	TCHP	protein_coding	109900264	109983841
12	109850945	110073636	222.691	rs11068997	5	QT	50.959	GIT2	protein_coding	109996295	109996389
12	109850945	110073636	222.691	rs11068997	5	QT	53.85	ANKRD13A	protein_coding	109999186	110039763
12	109850945	110073636	222.691	rs11068997	5	QT	94.391	GLTP	protein_coding	109850945	109880541
12	109850945	110073636	222.691	rs11068997	5	QT	103.219	C12orf76	protein_coding	110048555	110073636
17	55264960	55325187	60.227	rs11079159	1	QRS	31.229	HLF	protein_coding	55264960	55325187
18	32287095	32470882	183.787	rs11081761	1	HR	136.264	GAREM1	protein_coding	32287095	32470882
18	27990331	28186254	195.923	rs11083258	1	HR	195.923	CDH2	protein_coding	27990331	28177946
11	12237634	12535356	297.722	rs112421686	1	HR	139.929	PARVA	protein_coding	12377563	12535356
01	155050566	155301438	250.872	rs11264339	18	PR	4.605	KRTCAP2	protein_coding	155172777	155173475
01	155050566	155301438	250.872	rs11264339	18	PR	5.615	TRIM46	protein_coding	155173787	155184971
01	155050566	155301438	250.872	rs11264339	18	PR	24.743	MUC1	protein_coding	155192915	155192916
01	155050566	155301438	250.872	rs11264339	18	PR	27.765	DPM3	protein_coding	155140407	155140595
01	155050566	155301438	250.872	rs11264339	18	PR	28.27	THBS3	protein_coding	155196442	155209051
01	155050566	155301438	250.872	rs11264339	18	PR	32.828	SLC50A1	protein_coding	155135344	155138857
01	155050566	155301438	250.872	rs11264339	18	PR	40.296	EFNA1	protein_coding	155127876	155134899
01	155050566	155301438	250.872	rs11264339	18	PR	40.523	MTX1	protein_coding	155208695	155213824
01	155050566	155301438	250.872	rs11264339	18	PR	50.752	GBAP1	transcribed_unprocessed_pseudogene	155218924	155227574
01	155050566	155301438	250.872	rs11264339	18	PR	73.077	GBA	protein_coding	155241249	155244699
01	155050566	155301438	250.872	rs11264339	18	PR	86.788	FAM189B	protein_coding	155254960	155255483
01	155050566	155301438	250.872	rs11264339	18	PR	89.335	EFNA3	protein_coding	155078837	155087538
01	155050566	155301438	250.872	rs11264339	18	PR	90.743	SCAMP3	protein_coding	155258915	155262430
01	155050566	155301438	250.872	rs11264339	18	PR	104.435	EFNA4	protein_coding	155063737	155069553
01	155050566	155301438	250.872	rs11264339	18	PR	105.115	CLK2	protein_coding	155273287	155278491
01	155050566	155301438	250.872	rs11264339	18	PR	109.291	HCN3	protein_coding	155277463	155289848
01	155050566	155301438	250.872	rs11264339	18	PR	117.606	ADAM15	protein_coding	155050566	155062775
01	155050566	155301438	250.872	rs11264339	18	PR	121.121	PKLR	protein_coding	155289293	155301438
01	217426992	217871696	444.704	rs11454451	2	HR	81.775	SPATA17	protein_coding	217631324	217871696
01	217426992	217871696	444.704	rs11454451	2	HR	122.557	GPATCH2	protein_coding	217426992	217631090
14	23286132	23509862	223.73	rs11465506+rs422068	12	HR+PR	0.643	IL25	protein_coding	23372809	23376403
14	23286132	23509862	223.73	rs11465506+rs422068	12	HR+PR	3.321	CMTM5	protein_coding	23376773	23379772
14	23286132	23509862	223.73	rs11465506+rs422068	12	HR+PR	7.819	EFS	protein_coding	23365633	23365752
14	23286132	23509862	223.73	rs11465506+rs422068	12	HR+PR	10.66	MYH6	protein_coding	23384112	23408273
14	23286132	23509862	223.73	rs11465506+rs422068	12	HR+PR	17.145	MYH7	protein_coding	23412740	23435660
14	23286132	23509862	223.73	rs11465506+rs422068	12	HR+PR	20.592	SLC22A17	protein_coding	23352860	23352912
14	23286132	23509862	223.73	rs11465506+rs422068	12	HR+PR	51.995	PABPN1	protein_coding	23321457	23326163
14	23286132	23509862	223.73	rs11465506+rs422068	12	HR+PR	66.619	BCL2L2-PABPN1	protein_coding	23306833	23326175
14	23286132	23509862	223.73	rs11465506+rs422068	12	HR+PR	74.094	NGDN	protein_coding	23469689	23509862
14	23286132	23509862	223.73	rs11465506+rs422068	12	HR+PR	74.662	BCL2L2	protein_coding	23298790	23311751
14	23286132	23509862	223.73	rs11465506+rs422068	12	HR+PR	77.8	PPP1R3E	protein_coding	23295652	23302859
14	23286132	23509862	223.73	rs11465506+rs422068	12	HR+PR	87.32	HOMEZ	protein_coding	23286132	23299447
07	127252941	127431924	178.983	rs11563648	2	HR	43.573	ZNF800	protein_coding	127373565	127431924
07	127252941	127431924	178.983	rs11563648	2	HR	77.051	GRM8	protein_coding	127252941	127253093
03	37988059	38255484	267.425	rs116202356	6	JT+QT	23.08	DLEC1	protein_coding	38039205	38124025
03	37988059	38255484	267.425	rs116202356	6	JT+QT	53.95	PLCD1	protein_coding	38008335	38029642
03	37988059	38255484	267.425	rs116202356	6	JT+QT	60.798	ACAA1	protein_coding	38123083	38137242
03	37988059	38255484	267.425	rs116202356	6	JT+QT	74.226	VILL	protein_coding	37988059	38007188
03	37988059	38255484	267.425	rs116202356	6	JT+QT	76.193	MYD88	protein_coding	38138478	38143022
03	37988059	38255484	267.425	rs116202356	6	JT+QT	102.804	OXSR1	protein_coding	38165089	38255484
21	28781917	28885371	103.454	rs11700980	1	QRS	103.45	N6AMT1	protein_coding	28885367	28885371
01	156369211	156609507	240.296	rs1171563	6	HR	3.307	MEF2D	protein_coding	156483430	156500779
01	156369211	156609507	240.296	rs1171563	6	HR	85.828	IQGAP3	protein_coding	156572565	156572604
01	156369211	156609507	240.296	rs1171563	6	HR	92.986	TTC24	protein_coding	156579723	156587719
01	156369211	156609507	240.296	rs1171563	6	HR	105.019	NAXE	protein_coding	156591756	156609507
01	156369211	156609507	240.296	rs1171563	6	HR	114.742	GPATCH4	protein_coding	156601479	156601496
01	156369211	156609507	240.296	rs1171563	6	HR	117.526	RHBG	protein_coding	156369211	156385219
18	22414867	22549561	134.694	rs117159291	1	HR	134.694	CTAGE1	protein_coding	22414867	22417915
07	35506177	35697459	191.282	rs11763856	1	PR	188.958	HERPUD2	protein_coding	35695135	35697459
08	97775057	98036724	261.667	rs11779860	2	QT	30.738	MATN2	protein_coding	97868840	98036724
08	97775057	98036724	261.667	rs11779860	2	QT	63.045	LAPTM4B	protein_coding	97775057	97853013
14	71303768	71741229	437.461	rs11848785+rs12880291+rs17767398	1	PR+QRS	16.681	SIPA1L1	protein_coding	71320449	71741229
03	122183668	122416062	232.394	rs11920570+rs1801725	5	HR+JT+QT	11.664	CCDC58	protein_coding	122359591	122383231
03	122183668	122416062	232.394	rs11920570+rs1801725	5	HR+JT+QT	12.906	FAM162A	protein_coding	122384161	122412334
03	122183668	122416062	232.394	rs11920570+rs1801725	5	HR+JT+QT	40.338	CSTA	protein_coding	122325248	122341969
03	122183668	122416062	232.394	rs11920570+rs1801725	5	HR	40.591	WDR5B	protein_coding	122411846	122416062
03	122183668	122416062	232.394	rs11920570+rs1801725	5	JT+QT	101.242	CASR	protein_coding	122183668	122291629
01	161983947	162370475	386.528	rs12036340+rs12143842+rs16857031+rs17457880+rs3934467+rs4656345+rs4657172+rs6669543+rs7545047	2	QRS+QT	5.674	NOS1AP	protein_coding	162069774	162370475
01	161983947	162370475	386.528	rs12036340+rs12143842+rs16857031+rs17457880+rs3934467+rs4656345+rs4657172+rs6669543+rs7545047	2	QRS+QT	27.288	OLFML2B	protein_coding	161983947	162023869
01	115700021	115843917	143.896	rs12039739+rs4074536	2	QRS	50.636	NHLH2	protein_coding	115841126	115843917
01	115700021	115843917	143.896	rs12039739+rs4074536	2	QRS	68.325	CASQ2	protein_coding	115700021	115768714
01	109213918	109426448	212.53	rs12127701	6	PR	0.711	MYBPHL	protein_coding	109296353	109307011
01	109213918	109426448	212.53	rs12127701	6	PR	12.527	PSRC1	protein_coding	109283115	109283186
01	109213918	109426448	212.53	rs12127701	6	PR	46.103	CELSR2	protein_coding	109249539	109275751
01	109213918	109426448	212.53	rs12127701	6	PR	81.724	SARS1	protein_coding	109213918	109238182
01	109213918	109426448	212.53	rs12127701	6	PR	97.715	SORT1	protein_coding	109393357	109397918
01	109213918	109426448	212.53	rs12127701	6	PR	103.4	PSMA5	protein_coding	109399042	109426448
01	172353471	172468831	115.36	rs12132562	2	JT	61.855	PIGC	protein_coding	172415326	172444086
01	172353471	172468831	115.36	rs12132562	2	JT	67.214	C1orf105	protein_coding	172420685	172468831
10	103763117	103918184	155.067	rs12257568	2	PR	92.459	SH3PXD2A	protein_coding	103855576	103855584
10	103763117	103918184	155.067	rs12257568	2	PR	114.452	STN1	protein_coding	103877569	103918184
10	95561378	95877266	315.888	rs12359272	4	PR	0.535	ALDH18A1	protein_coding	95605941	95656711
10	95561378	95877266	315.888	rs12359272	4	PR	44.028	SORBS1	protein_coding	95561378	95561414
10	95561378	95877266	315.888	rs12359272	4	PR	88.546	TCTN3	protein_coding	95693952	95694143
10	95561378	95877266	315.888	rs12359272	4	PR	106.373	ENTPD1	protein_coding	95711779	95877266
11	62573891	62792006	218.115	rs12364753	24	HR	3.441	UBXN1	protein_coding	62679055	62679117
11	62573891	62792006	218.115	rs12364753	24	HR	5.341	UQCC3	protein_coding	62670273	62673686
11	62573891	62792006	218.115	rs12364753	24	HR	10.305	CSKMT	protein_coding	62665309	62668496
11	62573891	62792006	218.115	rs12364753	24	HR	10.433	C11orf98	protein_coding	62665181	62665210
11	62573891	62792006	218.115	rs12364753	24	HR	10.792	LRRN4CL	protein_coding	62686406	62689530
11	62573891	62792006	218.115	rs12364753	24	HR	12.797	LBHD1	protein_coding	62662817	62672267
11	62573891	62792006	218.115	rs12364753	24	HR	14.661	HNRNPUL2-BSCL2	protein_coding	62690275	62727384
11	62573891	62792006	218.115	rs12364753	24	HR	19.923	BSCL2	protein_coding	62695537	62709845
11	62573891	62792006	218.115	rs12364753	24	HR	28.766	INTS5	protein_coding	62646848	62653302
11	62573891	62792006	218.115	rs12364753	24	HR	29.012	GANAB	protein_coding	62646602	62646726
11	62573891	62792006	218.115	rs12364753	24	HR	32.062	GNG3	protein_coding	62707676	62709201
11	62573891	62792006	218.115	rs12364753	24	HR	37.016	HNRNPUL2	protein_coding	62712630	62727457
11	62573891	62792006	218.115	rs12364753	24	HR	52.455	TTC9C	protein_coding	62728069	62740293
11	62573891	62792006	218.115	rs12364753	24	HR	53.628	B3GAT3	protein_coding	62621986	62622154
11	62573891	62792006	218.115	rs12364753	24	HR	63.892	ROM1	protein_coding	62611722	62615116
11	62573891	62792006	218.115	rs12364753	24	HR	71.876	EML3	protein_coding	62603738	62612775
11	62573891	62792006	218.115	rs12364753	24	HR	76.485	ZBTB3	protein_coding	62752099	62754184
11	62573891	62792006	218.115	rs12364753	24	HR	82.4	MTA2	protein_coding	62593214	62601865
11	62573891	62792006	218.115	rs12364753	24	HR	85.951	POLR2G	protein_coding	62761565	62766710
11	62573891	62792006	218.115	rs12364753	24	HR	95.743	TAF6L	protein_coding	62771357	62787342
11	62573891	62792006	218.115	rs12364753	24	HR	100.569	TUT1	protein_coding	62575045	62591637
11	62573891	62792006	218.115	rs12364753	24	HR	101.723	EEF1G	protein_coding	62573891	62574086
11	62573891	62792006	218.115	rs12364753	24	HR	111.788	TMEM179B	protein_coding	62787402	62790400
11	62573891	62792006	218.115	rs12364753	24	HR	116.129	TMEM223	protein_coding	62791743	62792006
13	99427730	99564048	136.318	rs12430683	1	JT	18.581	TM9SF2	protein_coding	99446311	99564048
16	11576902	11742857	165.955	rs12444261+rs12930096+rs7198919+rs735951	3	QRS+QT	8.116	LITAF	protein_coding	11586919	11636381
16	11576902	11742857	165.955	rs12444261+rs12930096+rs7198919+rs735951	3	QRS+QT	27.669	SNN	protein_coding	11668455	11679152
16	11576902	11742857	165.955	rs12444261+rs12930096+rs7198919+rs735951	3	QRS+QT	38.297	TXNDC11	protein_coding	11679083	11742857
02	191832264	191847088	14.824	rs12468579	1	JT	2.046	CAVIN2	protein_coding	191834310	191847088
04	23882111	23949395	67.284	rs12501032	1	HR	67.284	PPARGC1A	protein_coding	23882111	23904089
11	44951289	44958832	7.543	rs12576326	1	HR	7.543	TP53I11	protein_coding	44951289	44951306
12	81759350	81825597	66.247	rs12579753	1	HR	66.247	PPFIA2	protein_coding	81759350	81759553
02	27409555	27651511	241.956	rs1260326	10	HR	11.234	GCKR	protein_coding	27496839	27523684
02	27409555	27651511	241.956	rs1260326	10	HR	16.19	FNDC4	protein_coding	27491883	27495200
02	27409555	27651511	241.956	rs1260326	10	HR	29.313	C2orf16	protein_coding	27537386	27582720
02	27409555	27651511	241.956	rs1260326	10	HR	53.986	IFT172	protein_coding	27454087	27489805
02	27409555	27651511	241.956	rs1260326	10	HR	65.707	KRTCAP3	protein_coding	27442366	27446481
02	27409555	27651511	241.956	rs1260326	10	HR	74.896	ZNF512	protein_coding	27582969	27623217
02	27409555	27651511	241.956	rs1260326	10	HR	80.283	NRBP1	protein_coding	27427790	27442259
02	27409555	27651511	241.956	rs1260326	10	HR	98.518	PPM1G	protein_coding	27409555	27409591
02	27409555	27651511	241.956	rs1260326	10	HR	117.565	CCDC121	protein_coding	27625638	27629012
02	27409555	27651511	241.956	rs1260326	10	HR	120.174	GPN1	protein_coding	27628247	27651511
06	30717281	30955636	238.355	rs1264353	9	QRS	56.436	DDR1	protein_coding	30876421	30900156
06	30717281	30955636	238.355	rs1264353	9	QRS	75.438	IER3	protein_coding	30744547	30744548
06	30717281	30955636	238.355	rs1264353	9	QRS	79.132	FLOT1	protein_coding	30740853	30742732
06	30717281	30955636	238.355	rs1264353	9	QRS	88.222	GTF2H4	protein_coding	30908207	30914106
06	30717281	30955636	238.355	rs1264353	9	QRS	94.22	VARS2	protein_coding	30914205	30926459
06	30717281	30955636	238.355	rs1264353	9	QRS	102.55	TUBB	protein_coding	30717435	30725538
06	30717281	30955636	238.355	rs1264353	9	QRS	102.704	MDC1	protein_coding	30717281	30717447
06	30717281	30955636	238.355	rs1264353	9	QRS	112.124	SFTA2	protein_coding	30932109	30955636
06	30717281	30955636	238.355	rs1264353	9	QRS	114.538	MUCL3	protein_coding	30934523	30954221
08	105503826	106752694	1248.868	rs12678719	1	PR	766.318	OXR1	protein_coding	106270144	106752694
02	59779570	60554467	774.897	rs12713404	1	HR	670.95	BCL11A	protein_coding	60450520	60554467
19	44809103	45070956	261.853	rs12721051	11	HR	4.656	APOC1	protein_coding	44914247	44919349
19	44809103	45070956	261.853	rs12721051	11	HR	13.112	APOE	protein_coding	44905791	44909393
19	44809103	45070956	261.853	rs12721051	11	HR	23.334	APOC4	protein_coding	44942237	44945496
19	44809103	45070956	261.853	rs12721051	11	HR	23.335	APOC4-APOC2	protein_coding	44942238	44949565
19	44809103	45070956	261.853	rs12721051	11	HR	27.132	APOC2	protein_coding	44946035	44949565
19	44809103	45070956	261.853	rs12721051	11	HR	28.334	TOMM40	protein_coding	44890569	44903689
19	44809103	45070956	261.853	rs12721051	11	HR	35.682	CLPTM1	protein_coding	44954585	44993341
19	44809103	45070956	261.853	rs12721051	11	HR	72.728	NECTIN2	protein_coding	44846175	44889223
19	44809103	45070956	261.853	rs12721051	11	HR	82.561	RELB	protein_coding	45001464	45038198
19	44809103	45070956	261.853	rs12721051	11	HR	109.8	BCAM	protein_coding	44809103	44821421
19	44809103	45070956	261.853	rs12721051	11	HR	120.142	CLASRP	protein_coding	45039045	45070956
10	75431624	76560168	1128.544	rs12764182	1	QRS	699.864	LRMDA	protein_coding	75431624	76560168
14	20955487	21159060	203.573	rs12889267	12	HR	4.334	ARHGEF40	protein_coding	21070273	21090248
14	20955487	21159060	203.573	rs12889267	12	HR	16.785	RNASE8	protein_coding	21057822	21058455
14	20955487	21159060	203.573	rs12889267	12	HR	24.048	ZNF219	protein_coding	21098655	21104722
14	20955487	21159060	203.573	rs12889267	12	HR	24.204	TMEM253	protein_coding	21098811	21103724
14	20955487	21159060	203.573	rs12889267	12	HR	32.291	RNASE7	protein_coding	21042316	21044234
14	20955487	21159060	203.573	rs12889267	12	HR	41.789	RNASE13	protein_coding	21032818	21034807
14	20955487	21159060	203.573	rs12889267	12	HR	48.831	NDRG2	protein_coding	21025776	21070872
14	20955487	21159060	203.573	rs12889267	12	HR	50.498	TPPP2	protein_coding	21024109	21036276
14	20955487	21159060	203.573	rs12889267	12	HR	73.763	OR5AU1	protein_coding	21148370	21159060
14	20955487	21159060	203.573	rs12889267	12	HR	75.352	SLC39A2	protein_coding	20999255	21001871
14	20955487	21159060	203.573	rs12889267	12	HR	84.627	METTL17	protein_coding	20989980	20997035
14	20955487	21159060	203.573	rs12889267	12	HR	119.12	RNASE2	protein_coding	20955487	20956436
17	17813217	17837002	23.785	rs12941356	1	HR	0.552	SREBF1	protein_coding	17813769	17837002
16	3725054	3880713	155.659	rs1296720	1	QT	98.587	CREBBP	protein_coding	3725054	3880713
02	40126137	40611053	484.916	rs12997023+rs6544311	1	QT	73.773	SLC8A1	protein_coding	40452069	40611053
02	231395710	231530445	134.735	rs13002735	3	HR	8.463	B3GNT7	protein_coding	231395710	231401164
02	231395710	231530445	134.735	rs13002735	3	HR	60.311	NCL	protein_coding	231464484	231483641
02	231395710	231530445	134.735	rs13002735	3	HR	119.014	NMUR1	protein_coding	231523187	231530445
02	163518692	163736012	217.32	rs13018106	1	PR	74.704	FIGN	protein_coding	163593396	163736012
03	73400965	73624941	223.976	rs13087058	1	PR	101.112	PDZRN3	protein_coding	73400965	73624941
05	154445997	154492610	46.613	rs13165478+rs13185595	2	QRS	14.508	HAND1	protein_coding	154474972	154478227
05	154445997	154492610	46.613	rs13165478+rs13185595	2	QRS	43.483	SAP30L	protein_coding	154445997	154461053
05	30888476	31329146	440.67	rs13165531	1	HR	305.274	CDH6	protein_coding	31193750	31329146
06	27374615	27473118	98.503	rs13195040	2	QRS	4.598	ZNF184	protein_coding	27450743	27473118
06	27374615	27473118	98.503	rs13195040	2	QRS	71.53	ZNF391	protein_coding	27374615	27403908
06	121435595	121846992	411.397	rs1320761+rs3792943	1	HR	1.771	GJA1	protein_coding	121435595	121449727
06	36594353	36986298	391.945	rs1321311+rs236349+rs9470361	8	HR	5.846	PPIL1	protein_coding	36858635	36874803
06	36594353	36986298	391.945	rs1321311+rs236349+rs9470361	8	HR	19.081	C6orf89	protein_coding	36871870	36928964
06	36594353	36986298	391.945	rs1321311+rs236349+rs9470361	8	QRS	20.858	CDKN1A	protein_coding	36676460	36687337
