phenotype	locus_name	gene_name	gene_locusdist_kbp
QT	rs2074238+rs2301696+rs7122937	TSPAN32	103757
QT	rs2074238+rs2301696+rs7122937	C11orf21	103836
QT	rs7195486	SRL	36896
QT	rs7195486	TFAP4	53619
QT	rs7195486	GLIS2	109582
QT	rs728478	YPEL2	57488
QT	rs728926	KLF12	252896
QT	rs12444261+rs12930096+rs735951	LITAF	10017
QT	rs12444261+rs12930096+rs735951	SNN	27669
QT	rs12444261+rs12930096+rs735951	TXNDC11	38297
QT	rs12143842+rs16857031+rs17457880+rs3934467+rs4656345+rs4657172+rs6669543+rs7545047	NOS1AP	5674
QT	rs12143842+rs16857031+rs17457880+rs3934467+rs4656345+rs4657172+rs6669543+rs7545047	OLFML2B	27288
QT	rs7808970	NYAP1	812
QT	rs7808970	TSC22D4	5613
QT	rs7808970	C7orf61	26495
QT	rs7808970	PPP1R35	46979
QT	rs7808970	MEPCE	54793
QT	rs7808970	AGFG2	56088
QT	rs7808970	ZCWPW1	81072
QT	rs7808970	SAP25	90532
QT	rs7808970	LRCH4	93828
QT	rs7808970	FBXO24	100867
QT	rs7808970	PILRA	115585
QT	rs7808970	PCOLCE	119248
QT	rs9892651	PRKCA	5039
QT	rs9892651	APOH	78260
QT	rs9920	CAV1	35044
QT	rs9920	MET	112158
QT	rs1042391+rs7765828	GMPR	51943
QT	rs1047640+rs938291	SP3	37237
QT	rs11068997	TCHP	45072
QT	rs11068997	GIT2	50959
QT	rs11068997	ANKRD13A	53850
QT	rs11068997	GLTP	94391
QT	rs11068997	C12orf76	103219
QT	rs116202356	DLEC1	23080
QT	rs116202356	PLCD1	53950
QT	rs116202356	ACAA1	60798
QT	rs116202356	VILL	74226
QT	rs116202356	MYD88	76193
QT	rs116202356	OXSR1	102804
QT	rs1361754+rs1775154	PM20D1	4719
QT	rs1361754+rs1775154	NUCKS1	14665
QT	rs1361754+rs1775154	SLC41A1	19546
QT	rs1361754+rs1775154	RAB29	40499
QT	rs1361754+rs1775154	SLC45A3	64819
QT	rs1361754+rs1775154	ELK4	95594
QT	rs1361754+rs1775154	SLC26A9	103078
QT	rs1801725	CSTA	40338
QT	rs1801725	CCDC58	74681
QT	rs1801725	FAM162A	99251
QT	rs1801725	CASR	101242
QT	rs1805123+rs2072413+rs3807375	KCNH2	4923
QT	rs1805123+rs2072413+rs3807375	NOS3	20895
QT	rs1805123+rs2072413+rs3807375	ATG9B	42663
QT	rs1805123+rs2072413+rs3807375	ABCB8	58300
QT	rs1805123+rs2072413+rs3807375	ASIC3	78170
QT	rs1805123+rs2072413+rs3807375	CDK5	83693
QT	rs1805123+rs2072413+rs3807375	SLC4A2	87088
QT	rs1805123+rs2072413+rs3807375	FASTK	110672
QT	rs1805123+rs2072413+rs3807375	TMUB1	112969
QT	rs1805123+rs2072413+rs3807375	AGAP3	115709
QT	rs1805123+rs2072413+rs3807375	AOC1	123819
QT	rs11153730+rs12210733+rs3734381+rs3734382+rs3902035+rs9489510	PLN	17502
QT	rs11153730+rs12210733+rs3734381+rs3734382+rs3902035+rs9489510	SSXP10	22930
QT	rs11153730+rs12210733+rs3734381+rs3734382+rs3902035+rs9489510	CEP85L	27478
QT	rs11153730+rs12210733+rs3734381+rs3734382+rs3902035+rs9489510	MCM9	90707
QT	rs55910611	SLC4A3	8296
QT	rs55910611	STK11IP	37833
QT	rs55910611	OBSL1	64151
QT	rs55910611	INHA	66528
QT	rs55910611	TMEM198	92027
QT	rs55910611	CHPF	96736
QT	rs55910611	ASIC4	121520
QT	rs1983546+rs6018+rs6027+rs6033	SLC19A2	13036
QT	rs1983546+rs6018+rs6027+rs6033	F5	33866
QT	rs1983546+rs6018+rs6027+rs6033	CCDC181	49471
QT	rs1983546+rs6018+rs6027+rs6033	SELP	66604
QT	rs1983546+rs6018+rs6027+rs6033	BLZF1	108975
QT	rs1983546+rs6018+rs6027+rs6033	C1orf112	109392
QT	rs11708996+rs11710077+rs12053903+rs1805124+rs6599234+rs6793245+rs6795970+rs6801957	SCN5A	16941
QT	rs11708996+rs11710077+rs12053903+rs1805124+rs6599234+rs6793245+rs6795970+rs6801957	SCN10A	22993
QT	rs11708996+rs11710077+rs12053903+rs1805124+rs6599234+rs6793245+rs6795970+rs6801957	EXOG	55775
QT	rs11708996+rs11710077+rs12053903+rs1805124+rs6599234+rs6793245+rs6795970+rs6801957	ACVR2B	98012
QT	rs2273042+rs709209+rs846111	CHD5	12725
QT	rs2273042+rs709209+rs846111	RNF207	12879
QT	rs2273042+rs709209+rs846111	ICMT	16654
QT	rs2273042+rs709209+rs846111	RPL22	18759
QT	rs2273042+rs709209+rs846111	HES3	24869
QT	rs2273042+rs709209+rs846111	GPR153	28043
QT	rs2273042+rs709209+rs846111	KCNAB2	98135
QT	rs10497520+rs72648998+rs7561149	CCDC141	4628
QT	rs10497520+rs72648998+rs7561149	TTN	17706
QT	rs3857067+rs7439869	SMARCAD1	45017
QT	rs3857067+rs7439869	HPGDS	90208
QT	rs1052536+rs2230553+rs9635769	CCT6B	58
QT	rs1052536+rs2230553+rs9635769	ZNF830	196
QT	rs1052536+rs2230553+rs9635769	LIG3	19168
QT	rs1052536+rs2230553+rs9635769	RFFL	59151
QT	rs1052536+rs2230553+rs9635769	RAD51D	115304
QT	rs1052536+rs2230553+rs9635769	FNDC8	117059
QT	rs3189030	NRAP	29876
QT	rs3189030	CASP7	44992
QT	rs3189030	HABP2	81117
QT	rs3189030	PLEKHS1	117092
QT	rs75714509	TCTN1	28265
QT	rs75714509	HVCN1	47125
QT	rs75714509	PPP1CC	100599
QT	rs75714509	PPTC7	109047
