locus_name	score_gap	candidate_gene	candidate_score	penulatimate_gene	penultimate_score
rs404321	0.17584032030173802	SPDYE11	31.098865552975923	SPDYE8	30.923025232674185
rs4648819	0.685544348137249	MORN1	31.19608821749972	FAAP20	30.510543869362472
rs12889267	0.4183592300657395	NDRG2	30.784328163433408	RNASE2	30.365968933367668
rs12359272	1.9618186817194392	ENTPD1	29.80316178428597	ALDH18A1	27.84134310256653
rs3189030	1.5375670606835037	HABP2	30.567787345676862	CASP7	29.03022028499336
rs182770070	0.02683745959691919	CTNNBIP1	30.84152326742111	CLSTN1	30.81468580782419
rs145358377+rs200882245+rs2273042+rs709209+rs846111	0.616272058791715	KCNAB2	30.912645150072294	GPR153	30.29637309128058
rs11920570+rs1801725	2.420095896688064	CASR	34.29552125490725	CCDC58	31.875425358219186
rs1052536+rs2230553+rs9635769	0.6819333556391136	LIG3	31.402404348480715	FNDC8	30.7204709928416
rs10040989+rs1468333	0.4230935111894425	FAM53C	31.10645603129045	CDC25C	30.683362520101007
rs75190942	0.2726497793719531	C11orf45	30.03990937988261	KCNJ1	29.767259600510656
rs16974196	0.06538151017977611	BLVRB	31.20183350810145	CCNP	31.136451997921675
rs1805128	0.11404101641458908	KCNE1	32.015050397095465	KCNE2	31.901009380680875
rs242562	2.1638525159858375	KANSL1	30.8583129629068	MAPT	28.694460446920964
rs17608766	0.6755111060883436	RPRML	30.45444024721612	GOSR2	29.778929141127776
rs164133+rs17460657+rs347272	2.3671640893512205	C1orf226	32.050216581375125	SH2D1B	29.683052492023904
rs2358740+rs4687718	0.8268447757176034	CACNA1D	30.776555110089603	DCP1A	29.949710334372
rs174536+rs174577+rs174583	0.1789278516372832	DAGLA	30.888036726663323	BEST1	30.70910887502604
rs2485376	0.6132141200135486	ELOVL3	30.82367400202336	GBF1	30.21045988200981
rs1983546+rs6018+rs6027+rs6033	0.07164074708200019	C1orf112	30.907264923030247	F5	30.835624175948247
rs2076028	0.1307500985854908	CBY1	30.86288161465866	JOSD1	30.73213151607317
rs12127701	0.5061304135140539	CELSR2	30.81775705964449	PSMA5	30.311626646130435
rs6762208+rs7638853	3.1153103596526037	LIPH	31.699769842219112	IGF2BP2	28.58445948256651
rs7808970	0.34229001213100574	PILRA	30.9273704815328	LRCH4	30.585080469401795
rs1805123+rs2072413+rs3807375	6.354446920984607	KCNH2	35.14933942736278	AGAP3	28.794892506378176
rs12721051	0.1309755581979033	BCAM	30.49155845634192	NECTIN2	30.360582898144017
rs11068997	0.2919818944392496	C12orf76	30.88480838170869	GIT2	30.59282648726944
rs17784882	0.5828290207624001	CSPG5	30.74995374709269	ELP6	30.16712472633029
rs17881696	1.1368589525739168	ACHE	31.835780587267124	SRRT	30.698921634693207
rs11264339	0.061375083409132	GBAP1	32.2735021169006	EFNA1	32.21212703349147
rs2997447	0.020297849549894664	C1orf232	30.88461575358428	FAM110D	30.864317904034387
rs10457327+rs11153730+rs12210733+rs3734381+rs3734382+rs3902035+rs3951016+rs9489510	0.32894789577382255	MCM9	30.618893677577702	CEP85L	30.28994578180388
rs3749237	0.34125045686467814	CDHR4	30.630782300813948	INKA1	30.28953184394927
rs2298632	0.17408122848173946	E2F2	30.735615949054804	ASAP3	30.561534720573064
rs2074238+rs2301696+rs7122937	5.674594425338952	KCNQ1	35.23911767225535	C11orf21	29.564523246916394
rs1050288	0.8216589420060139	MANSC4	30.168960632419303	KLHL42	29.34730169041329
rs748802	0.2607863906456096	FAM221B	30.51704701678057	NPR2	30.25626062613496
rs9296504	0.07004969390721882	ANKRD66	30.80196079093329	PLA2G7	30.73191109702607
